No,Name,Code ,BOS Code,Sub-Grids,Units,Gender,Max Class,Corresponding Lines,Same Students
3,07 Care Group,7CARE,,1,1,Both,Nil Max,,
4,07 Dance,7DAN,,1,1,Both,Nil Max,,
5,07 Design & Technology,7TECH,,1,1,Both,Nil Max,,
6,07 Digital Products,7DPD,,1,1,Both,Nil Max,,
7,07 Digital Technology,7DTE,,1,1,Both,Nil Max,,
8,07 Drama,7DRA,,1,1,Both,Nil Max,,
9,07 English as a Sec Lang A,7EALA,,2,0,Both,Nil Max,Yes,Yes
10,07 English as a Sec Lang B,7EALB,,2,2,Both,Nil Max,Yes,Yes
11,07 English L1,7ENGL1,,2,0,Both,Nil Max,Yes,Yes
12,07 English L2,7ENGL2,,2,0,Both,Nil Max,Yes,Yes
13,07 English O,7ENGO,,2,0,Both,Nil Max,Yes,Yes
14,07 English P,7ENGP,,2,0,Both,Nil Max,Yes,Yes
15,07 Food and Nutrition,7FOD,,1,1,Both,Nil Max,,
16,07 Health and Physical Education,7HPE,,2,2,Both,Nil Max,No,No
17,07 Humanities E,7HUME,,1,2,Both,Nil Max,,
18,07 Humanities L,7HUML,,1,2,Both,Nil Max,,
19,07 Humanities O,7HUMO,,2,2,Both,Nil Max,No,No
20,07 Humanities P,7HUMP,,1,2,Both,Nil Max,,
21,07 Italian,7ITA,,1,2,Both,Nil Max,,
22,07 Italian (Optional),7ITAO,,1,2,Both,Nil Max,,
23,07 Learning Support,7LNSP,,2,2,Both,Nil Max,Yes,Yes
24,07 Literacy (ATSI Focus),7LITAF,,2,2,Both,Nil Max,Yes,Yes
25,07 Literacy P,7LITP,,2,2,Both,Nil Max,Yes,Yes
26,07 Mathematics E,7MTHE,,2,0,Both,Nil Max,Yes,Yes
27,07 Mathematics L1,7MTHL1,,2,0,Both,Nil Max,Yes,Yes
28,07 Mathematics L2,7MTHL2,,2,0,Both,Nil Max,Yes,Yes
29,07 Mathematics O,7MTHO,,2,0,Both,Nil Max,Yes,Yes
30,07 Mathematics P,7MTHP,,2,0,Both,Nil Max,Yes,Yes
31,07 Music,7MUS,,1,1,Both,Nil Max,,
32,07 Personal Development,7PDV,,2,0,Both,Nil Max,No,No
33,07 Science E,7SCIE,,2,0,Both,Nil Max,Yes,Yes
34,07 Science L1,7SCIL1,,2,0,Both,Nil Max,Yes,Yes
35,07 Science L2,7SCIL2,,2,0,Both,Nil Max,Yes,Yes
36,07 Science O,7SCIO,,2,0,Both,Nil Max,Yes,Yes
37,07 Science P,7SCIP,,2,2,Both,Nil Max,Yes,Yes
38,07 Visual Arts,7ART,,1,1,Both,Nil Max,,
39,SJ CREATIVE ARTS,SJAT,,1,1,Both,Nil Max,,
40,SJ DESIGN TECHNOLOGY,SJDN,,1,1,Both,Nil Max,,
41,SJ ENGLISH,SJEG,,1,1,Both,Nil Max,,
42,SJ FOOD,SJFO,,1,1,Both,Nil Max,,
43,SJ HEALTH AND PE,SWDPE1,,1,1,Both,Nil Max,,
44,SJ HUMANITIES,SJHUM,,1,1,Both,Nil Max,,
45,SJ MATHEMATICS,SJMA,,1,1,Both,Nil Max,,
46,SJ PERFORMING ARTS,SJPERF,,1,1,Both,Nil Max,,
47,SJ SCIENCE,SJSC,,1,1,Both,Nil Max,,
48,SJU CREATIVE ARTS,SJUAR,,1,1,Both,Nil Max,,
49,SJU ENGLISH,SJUEG,,1,1,Both,Nil Max,,
50,SJU FOOD,SJUFD,,1,1,Both,Nil Max,,
51,SJU HEALTH AND PE,SWDPE2,,1,1,Both,Nil Max,,
52,SJU HUMANITIES,SJUHUM,,1,1,Both,Nil Max,,
53,SJU MATHEMATICS,SJUMTH,,1,1,Both,Nil Max,,
54,SJU PERFORMING ARTS,SJUPERF,,1,1,Both,Nil Max,,
55,SJU SCIENCE,SJUSCI,,1,1,Both,Nil Max,,
,,,,,,,,,
