No,Name,Code ,BOS Code,Sub-Grids,Units,Gender,Max Class,Corresponding Lines,Same Students
3,08 Care Group,8CARE,,1,1,Both,Nil Max,,
4,08 Dance,8DAN,,1,1,Both,Nil Max,,
5,08 Digital Products,8DPD,,1,1,Both,Nil Max,,
6,08 Digital Technology,8DTE,,1,1,Both,Nil Max,,
7,08 Drama,8DRA,,1,1,Both,Nil Max,,
8,08 English as a Sec Lang A,8EALA,,2,0,Both,Nil Max,Yes,Yes
9,08 English as a Sec Lang B,8EALB,,2,2,Both,Nil Max,Yes,Yes
10,08 English L1,8ENGL1,,2,0,Both,Nil Max,Yes,Yes
11,08 English L2,8ENGL2,,2,0,Both,Nil Max,Yes,Yes
12,08 English O,8ENGO,,2,0,Both,Nil Max,Yes,Yes
13,08 English P,8ENGP,,2,0,Both,Nil Max,Yes,Yes
14,08 Food and Nutrition,8FOD,,1,1,Both,Nil Max,,
15,08 Health and Physical Education,8HPE,,2,2,Both,Nil Max,No,No
16,08 Hum E Term,8HUMTE,,1,1,Both,Nil Max,,
17,08 Hum L Term,8HUMTL,,1,1,Both,Nil Max,,
18,08 Hum O Term,8HUMTO,,1,1,Both,Nil Max,,
19,08 Hum P Term,8HUMTP,,1,1,Both,Nil Max,,
20,08 Humanities E,8HUME,,1,2,Both,Nil Max,,
21,08 Humanities L,8HUML,,1,2,Both,Nil Max,,
22,08 Humanities O,8HUMO,,2,2,Both,Nil Max,No,No
23,08 Humanities P,8HUMP,,1,2,Both,Nil Max,,
24,08 Italian,8ITA,,1,2,Both,Nil Max,,
25,08 Italian Extra Optional,8ITAO,,1,2,Both,Nil Max,,
26,08 Learning Support,8LNSP,,2,2,Both,Nil Max,Yes,Yes
27,08 Literacy (ATSI Focus),8LITAF,,2,2,Both,Nil Max,Yes,Yes
28,08 Literacy P,8LITP,,2,2,Both,Nil Max,Yes,Yes
29,08 Materials Design with Metal,8MDNM,,1,1,Both,Nil Max,,
30,08 Materials Design with Wood,8MDNW,,1,1,Both,Nil Max,,
31,08 Mathematics E,8MTHE,,2,0,Both,Nil Max,Yes,Yes
32,08 Mathematics L1,8MTHL1,,2,0,Both,Nil Max,Yes,Yes
33,08 Mathematics L2,8MTHL2,,2,0,Both,Nil Max,Yes,Yes
34,08 Mathematics O,8MTHO,,2,0,Both,Nil Max,Yes,Yes
35,08 Mathematics P,8MTHP,,2,0,Both,Nil Max,Yes,Yes
36,08 Media Arts,8MART,,1,1,Both,Nil Max,,
37,08 Music,8MUS,,1,1,Both,Nil Max,,
38,08 Personal Development,8PDV,,2,0,Both,Nil Max,No,No
39,08 Science E,8SCIE,,2,0,Both,Nil Max,Yes,Yes
40,08 Science L1,8SCIL1,,2,0,Both,Nil Max,Yes,Yes
41,08 Science L2,8SCIL2,,2,0,Both,Nil Max,Yes,Yes
42,08 Science O,8SCIO,,2,0,Both,Nil Max,Yes,Yes
43,08 Science P,8SCIP,,2,2,Both,Nil Max,Yes,Yes
44,08 Visual Arts,8ART,,1,1,Both,Nil Max,,
45,SJ CREATIVE ARTS,SJAT,,1,1,Both,Nil Max,,
46,SJ DESIGN TECHNOLOGY,SJDN,,1,1,Both,Nil Max,,
47,SJ ENGLISH,SJEG,,1,1,Both,Nil Max,,
48,SJ FOOD,SJFO,,1,1,Both,Nil Max,,
49,SJ HEALTH AND PE,SWDPE1,,1,1,Both,Nil Max,,
50,SJ HUMANITIES,SJHUM,,1,1,Both,Nil Max,,
51,SJ MATHEMATICS,SJMA,,1,1,Both,Nil Max,,
52,SJ PERFORMING ARTS,SJPERF,,1,1,Both,Nil Max,,
53,SJ SCIENCE,SJSC,,1,1,Both,Nil Max,,
54,SJU CREATIVE ARTS,SJUAR,,1,1,Both,Nil Max,,
55,SJU ENGLISH,SJUEG,,1,1,Both,Nil Max,,
56,SJU FOOD,SJUFD,,1,1,Both,Nil Max,,
57,SJU HEALTH AND PE,SWDPE2,,1,1,Both,Nil Max,,
58,SJU HUMANITIES,SJUHUM,,1,1,Both,Nil Max,,
59,SJU MATHEMATICS,SJUMTH,,1,1,Both,Nil Max,,
60,SJU PERFORMING ARTS,SJUPERF,,1,1,Both,Nil Max,,
61,SJU SCIENCE,SJUSCI,,1,1,Both,Nil Max,,
,,,,,,,,,
