,StudentID,Year,Pref 1,Pref 2,Pref 3,Pref 4,Pref 5,Pref 6,Pref 7,Pref 8,Pref 9,Pref 10,Pref 11,Pref 12,Pref 13,Pref 14,Pref 15
517,220002,08,8CARE,8ENG,8HUM,8LITP,8MTH,8PD,8SCI,8DAN,8DTE,8DPD,8MUS,8ART,8MDNW,8HPE,
518,220004,08,8CARE,8LITAF,8PD,8DAN,8DTE,8FOD,8ART,8ENG,8HPE,8HUM,8MTH,8SCI,,,
519,220005,08,8CARE,8LITAF,8PD,8FOD,8DTE,8MUS,8DRA,8ENG,8HPE,8HUM,8MTH,8SCI,,,
522,220008,08,8CARE,8ENG,8HUM,8LITP,8MTH,8PD,8SCI,8FOD,8DAN,8ART,8MUS,8DTE,8MDNW,8HPE,
523,220009,08,8CARE,8LITAF,8PD,8DTE,8FOD,8DAN,8ART,8ENG,8HPE,8HUM,8MTH,8SCI,,,
524,220010,08,8CARE,8PD,8FOD,8MDNM,8DTE,8MUS,8DPD,8DRA,8ENG,8HPE,8HUM,8ITA,8MTH,8SCI,
526,220013,08,8CARE,8ENG,8HUM,8LITP,8MTH,8PD,8SCI,8FOD,8DTE,8DRA,8MUS,8ART,8MDNW,8HPE,
529,220016,08,8CARE,8PD,8FOD,8MDNM,8MDNW,8MUS,8ART,8DTE,8ENG,8HPE,8HUM,8MTH,8SCI,8ITA,
531,220018,08,8CARE,8PD,8FOD,8MUS,8MDNM,8MDNW,8DAN,8DTE,8ENG,8HPE,8HUM,8MTH,8SCI,8ITA,
534,220021,08,8CARE,8PD,8ART,8FOD,8DPD,8MUS,8DTE,8MDNW,8ENG,8HPE,8HUM,8ITA,8MTH,8SCI,
535,220023,08,8CARE,8PD,8FOD,8MDNW,8DTE,8MDNM,8DAN,8ART,8ENG,8HPE,8HUM,8MTH,8SCI,8ITA,
536,220024,08,8CARE,8PD,8FOD,8DTE,8MDNW,8MUS,8DPD,8DRA,8ENG,8HPE,8HUM,8ITA,8MTH,8SCI,
537,220025,08,8CARE,8PD,8FOD,8MDNM,8DTE,8MDNW,8MUS,8ART,8ENG,8HPE,8HUM,8MTH,8SCI,8ITA,
538,220026,08,8CARE,8PD,8DAN,8MDNM,8DPD,8DTE,8ART,8FOD,8ENG,8HPE,8HUM,8ITA,8MTH,8SCI,
540,220028,08,8CARE,8PD,8FOD,8MDNM,8DTE,8MUS,8DPD,8DRA,8ENG,8HPE,8HUM,8ITA,8MTH,8SCI,
541,220029,08,8CARE,8PD,8FOD,8MDNW,8DAN,8MUS,8ART,8DTE,8ENG,8HPE,8HUM,8MTH,8SCI,8ITA,
542,220030,08,8CARE,8PD,8DAN,8MDNW,8ART,8DTE,8DRA,8FOD,8ENG,8HPE,8HUM,8ITA,8MTH,8SCI,
551,220040,08,8CARE,8PD,8MDNM,8MDNW,8ART,8MUS,8DTE,8FOD,8ENG,8HPE,8HUM,8ITA,8MTH,8SCI,
555,220045,08,8CARE,8PD,8DAN,8FOD,8MDNM,8MDNW,8ART,8DTE,8ENG,8HPE,8HUM,8MTH,8SCI,8ITA,
564,220054,08,8CARE,8PD,8MUS,8FOD,8DTE,8ART,8ENG,8HPE,8HUM,8MTH,8SCI,,,,
565,220055,08,8CARE,8PD,8DTE,8FOD,8MDNW,8MUS,8DPD,8DRA,8ENG,8HPE,8HUM,8ITA,8MTH,8SCI,
566,220056,08,8CARE,8PD,8DAN,8MUS,8FOD,8DTE,8ART,8ENG,8HPE,8HUM,8MTH,8SCI,,,
569,220060,08,8CARE,8PD,8FOD,8MDNM,8ART,8MDNW,8DAN,8DTE,8ENG,8HPE,8HUM,8MTH,8SCI,8ITA,
570,220061,08,8CARE,8PD,SC1ARTS,SC1DT,SC1ENG,SC1HUM,SC1MTH,SC1SCI,SWDPE,SC1FD,SC1MUS,,,,
573,220064,08,8CARE,8PD,8MDNM,8MDNW,8DTE,8MUS,8ART,8FOD,8ENG,8HPE,8HUM,8ITA,8MTH,8SCI,
574,220065,08,8CARE,8PD,SC2DT,SC2ENG,SC2HUM,SC2MTH,SC2MUS,SC2SCI,SWDPE,SC2ART,SC2FD,,,,
576,220068,08,8CARE,8PD,8DAN,8DTE,8FOD,8MDNW,8MUS,8ART,8ENG,8HPE,8HUM,8MTH,8SCI,8ITA,
577,220069,08,8CARE,8PD,SU1ENG,SU1FD,SU1HUM,SU1MTH,SU1MUS,SU1SCI,SWDPE,SU1DTE,,,,,
580,220075,08,8CARE,8PD,8ART,8DTE,8FOD,8MUS,8DPD,8MDNW,8ENG,8HPE,8HUM,8MTH,8SCI,8ITA,
581,220076,08,8CARE,8PD,8DAN,8DTE,8FOD,8MDNM,8MDNW,8MUS,8ENG,8HPE,8HUM,8MTH,8SCI,8ITA,
582,220077,08,8CARE,8PD,8FOD,8DTE,8MDNW,8MUS,8DPD,8DRA,8ENG,8HPE,8HUM,8ITA,8MTH,8SCI,
583,220078,08,8CARE,8PD,8MDNM,8MUS,8DTE,8FOD,8ART,8MDNW,8ENG,8HPE,8HUM,8ITA,8MTH,8SCI,
584,220079,08,8CARE,8PD,8FOD,8MDNW,8ART,8DAN,8DRA,8DTE,8ENG,8HPE,8HUM,8ITA,8MTH,8SCI,
585,220080,08,8CARE,8PD,8MUS,8FOD,8DAN,8DPD,8DRA,8DTE,8ENG,8HPE,8HUM,8ITA,8MTH,8SCI,
586,220081,08,8CARE,8LITAF,8PD,8DAN,8MDNM,8FOD,8ART,8ENG,8HPE,8HUM,8MTH,8SCI,,,
587,220082,08,8CARE,8ENG,8HUM,8LITP,8MTH,8PD,8SCI,8MDNM,8DTE,8FOD,8DRA,8HPE,,,
588,220083,08,8CARE,8PD,8DAN,8FOD,8MDNM,8MDNW,8ART,8DTE,8ENG,8HPE,8HUM,8MTH,8SCI,8ITA,
589,220084,08,8CARE,8PD,8FOD,8MUS,8DAN,8DRA,8ART,8DTE,8ENG,8HPE,8HUM,8ITA,8MTH,8SCI,
590,220085,08,8CARE,8PD,8MDNM,8MDNW,8ART,8FOD,8DTE,8MUS,8ENG,8HPE,8HUM,8ITA,8MTH,8SCI,
591,220086,08,8CARE,8ENG,8HUM,8LITP,8MTH,8PD,8SCI,8FOD,8DTE,8MDNW,8ART,8HPE,,,
592,220087,08,8CARE,8PD,8MDNM,8DTE,8MDNW,8MUS,8ART,8FOD,8ENG,8HPE,8HUM,8ITA,8MTH,8SCI,
593,220088,08,8CARE,8PD,8DAN,8FOD,8DTE,8MDNW,8ART,8DRA,8ENG,8HPE,8HUM,8ITA,8MTH,8SCI,
594,220089,08,8CARE,8PD,8DAN,8DTE,8FOD,8DRA,8ART,8ENG,8HUM,8MTH,8SCI,8HPE,,,
599,220096,08,8CARE,8PD,8ART,8MDNM,8DTE,8FOD,8MUS,8MDNW,8ENG,8HPE,8HUM,8MTH,8SCI,8ITA,
607,220105,08,8CARE,8PD,8ART,8DTE,8MDNW,8MUS,8DPD,8FOD,8ENG,8HPE,8HUM,8ITA,8MTH,8SCI,
